condition_number,model,frame,decision,claude_coded_ev,gpt4o_coded_ev
127,claude-sonnet-4-thinking,gain_frame,control,True,True
128,claude-sonnet-4-thinking,gain_frame,control,False,True
129,claude-sonnet-4-thinking,gain_frame,control,True,True
130,claude-sonnet-4-thinking,gain_frame,control,True,True
131,claude-sonnet-4-thinking,gain_frame,control,True,True
132,claude-sonnet-4-thinking,gain_frame,control,True,True
133,claude-sonnet-4-thinking,gain_frame,control,False,True
134,claude-sonnet-4-thinking,gain_frame,control,True,True
135,claude-sonnet-4-thinking,gain_frame,control,True,True
136,claude-sonnet-4-thinking,gain_frame,control,True,True
137,claude-sonnet-4-thinking,gain_frame,control,True,True
138,claude-sonnet-4-thinking,gain_frame,control,True,True
139,claude-sonnet-4-thinking,gain_frame,control,True,True
140,claude-sonnet-4-thinking,gain_frame,control,True,True
141,claude-sonnet-4-thinking,gain_frame,attack,False,False
142,claude-sonnet-4-thinking,gain_frame,control,False,True
143,claude-sonnet-4-thinking,gain_frame,control,True,True
144,claude-sonnet-4-thinking,gain_frame,control,True,True
145,claude-sonnet-4-thinking,gain_frame,control,True,True
146,claude-sonnet-4-thinking,gain_frame,control,True,True
147,claude-sonnet-4-thinking,gain_frame,control,True,True
148,claude-sonnet-4-thinking,gain_frame,control,True,True
149,claude-sonnet-4-thinking,gain_frame,control,False,False
150,claude-sonnet-4-thinking,gain_frame,control,False,True
151,gpt-4o,loss_frame,blitz,False,False
152,gpt-4o,loss_frame,blitz,False,False
153,gpt-4o,loss_frame,blitz,False,False
154,gpt-4o,loss_frame,blitz,False,False
155,gpt-4o,loss_frame,blitz,False,False
156,gpt-4o,loss_frame,blitz,False,False
157,gpt-4o,loss_frame,blitz,False,False
158,gpt-4o,loss_frame,blitz,False,False
159,gpt-4o,loss_frame,blitz,False,False
160,gpt-4o,loss_frame,blitz,False,False
161,gpt-4o,loss_frame,blitz,False,False
162,gpt-4o,loss_frame,blitz,False,False
163,gpt-4o,loss_frame,blitz,False,False
164,gpt-4o,loss_frame,blitz,False,False
165,gpt-4o,loss_frame,blitz,False,False
166,gpt-4o,loss_frame,blitz,False,False
167,gpt-4o,loss_frame,blitz,False,False
168,gpt-4o,loss_frame,blitz,False,False
169,gpt-4o,loss_frame,blitz,False,False
170,gpt-4o,loss_frame,blitz,False,False
171,gpt-4o,loss_frame,blitz,False,False
172,gpt-4o,loss_frame,blitz,False,False
173,gpt-4o,loss_frame,blitz,False,False
174,gpt-4o,loss_frame,blitz,False,False
175,gpt-4o,loss_frame,blitz,False,False
176,gpt-4o,gain_frame,control,False,False
177,gpt-4o,gain_frame,control,False,False
178,gpt-4o,gain_frame,control,False,False
179,gpt-4o,gain_frame,control,False,False
180,gpt-4o,gain_frame,control,False,False
181,gpt-4o,gain_frame,control,False,False
182,gpt-4o,gain_frame,control,False,False
183,gpt-4o,gain_frame,control,False,False
184,gpt-4o,gain_frame,control,False,False
185,gpt-4o,gain_frame,control,False,False
186,gpt-4o,gain_frame,control,False,False
187,gpt-4o,gain_frame,attack,False,False
188,gpt-4o,gain_frame,control,False,False
189,gpt-4o,gain_frame,attack,False,False
190,gpt-4o,gain_frame,control,False,False
191,gpt-4o,gain_frame,control,False,False
192,gpt-4o,gain_frame,control,False,False
193,gpt-4o,gain_frame,control,False,False
194,gpt-4o,gain_frame,control,False,False
195,gpt-4o,gain_frame,control,False,False
196,gpt-4o,gain_frame,control,False,False
197,gpt-4o,gain_frame,control,False,False
198,gpt-4o,gain_frame,attack,False,False
199,gpt-4o,gain_frame,control,False,False
200,gpt-4o,gain_frame,attack,False,False
201,gemini-1.5-pro,loss_frame,blitz,False,False
202,gemini-1.5-pro,loss_frame,blitz,False,False
203,gemini-1.5-pro,loss_frame,blitz,False,False
204,gemini-1.5-pro,loss_frame,control,True,True
205,gemini-1.5-pro,loss_frame,blitz,False,False
206,gemini-1.5-pro,loss_frame,control,False,False
207,gemini-1.5-pro,loss_frame,blitz,False,False
208,gemini-1.5-pro,loss_frame,blitz,False,False
209,gemini-1.5-pro,loss_frame,blitz,True,True
210,gemini-1.5-pro,loss_frame,control,False,False
211,gemini-1.5-pro,loss_frame,blitz,False,False
212,gemini-1.5-pro,loss_frame,blitz,False,False
213,gemini-1.5-pro,loss_frame,blitz,False,False
214,gemini-1.5-pro,loss_frame,blitz,False,False
215,gemini-1.5-pro,loss_frame,control,False,False
216,gemini-1.5-pro,loss_frame,attack,False,False
217,gemini-1.5-pro,loss_frame,blitz,False,False
218,gemini-1.5-pro,loss_frame,blitz,False,False
219,gemini-1.5-pro,loss_frame,control,True,True
220,gemini-1.5-pro,loss_frame,blitz,False,False
221,gemini-1.5-pro,loss_frame,blitz,False,False
222,gemini-1.5-pro,loss_frame,attack,False,False
223,gemini-1.5-pro,loss_frame,blitz,True,True
224,gemini-1.5-pro,loss_frame,blitz,False,False
225,gemini-1.5-pro,loss_frame,blitz,False,False
226,gemini-1.5-pro,gain_frame,control,False,False
227,gemini-1.5-pro,gain_frame,control,False,False
228,gemini-1.5-pro,gain_frame,control,False,False
229,gemini-1.5-pro,gain_frame,control,False,False
230,gemini-1.5-pro,gain_frame,control,False,False
231,gemini-1.5-pro,gain_frame,control,False,False
232,gemini-1.5-pro,gain_frame,control,False,False
233,gemini-1.5-pro,gain_frame,control,False,False
234,gemini-1.5-pro,gain_frame,control,False,False
235,gemini-1.5-pro,gain_frame,control,False,False
236,gemini-1.5-pro,gain_frame,control,False,False
237,gemini-1.5-pro,gain_frame,control,False,False
238,gemini-1.5-pro,gain_frame,control,False,False
239,gemini-1.5-pro,gain_frame,control,False,False
240,gemini-1.5-pro,gain_frame,control,False,False
241,gemini-1.5-pro,gain_frame,control,False,False
242,gemini-1.5-pro,gain_frame,control,False,False
243,gemini-1.5-pro,gain_frame,control,False,False
244,gemini-1.5-pro,gain_frame,control,False,False
245,gemini-1.5-pro,gain_frame,control,False,False
246,gemini-1.5-pro,gain_frame,blitz,False,False
247,gemini-1.5-pro,gain_frame,control,False,False
248,gemini-1.5-pro,gain_frame,control,False,False
249,gemini-1.5-pro,gain_frame,attack,False,False
250,gemini-1.5-pro,gain_frame,control,False,False
